prospect_id,venue_type,geo_cluster,in_expansion_market,baseline_level,dwell_time_min,screen_count,audience_quality,calibrated_lift_feature,geo_demand_multiplier,true_ad_revenue_potential_prospect,predicted_revenue,rank_overall,rank_within_type
P0018,bar,15,False,373.8909044701196,83.76492179581236,3,0.7917699201730896,19.57178136495832,1.0339918143594733,805.9253526717257,684.385429838273,1,1
P0055,restaurant,17,False,531.8776237593487,50.25328557243997,3,0.6489896535361,18.693631048664304,1.1237477840063734,777.641649235698,524.4597842758484,2,1
P0000,bar,21,True,392.4276777201844,67.81152366397525,2,0.7410384753137703,19.57178136495832,1.2397856412527697,789.4715717762076,499.54027116719965,3,2
P0001,bar,24,True,451.0316641730359,67.15156269158597,1,0.7404956171918834,19.57178136495832,1.003951872317518,619.6633353026299,496.49939487636345,4,3
P0040,restaurant,22,True,465.8178735271436,60.78037837918472,2,0.7446797538709901,18.693631048664304,0.7975192829906805,488.2049710049137,491.6769233292656,5,2
P0038,gym,16,False,344.1273071363326,34.10782319340646,3,0.8035698696745348,13.054646261079396,1.1863315924054103,518.2366557717883,469.6733816924629,6,1
P0042,restaurant,22,True,452.56142982562017,35.1142981900934,3,0.6506915564361466,18.693631048664304,0.7975192829906805,418.984846139857,464.04710089723045,7,3
P0047,restaurant,24,True,494.3608689413189,45.51614287316462,2,0.8914381922007341,18.693631048664304,1.003951872317518,654.5958357631357,453.1139599478031,8,4
P0050,restaurant,11,False,468.4784724095406,29.290842428872534,2,0.6654796385127458,18.693631048664304,1.2417115693927143,564.8540518926075,438.5451698638147,9,5
P0019,bar,13,False,296.1814500161318,82.08591699787982,2,0.6601211801478672,19.57178136495832,0.9486158444409548,452.7553487577443,431.4369752860941,10,4
P0010,bar,15,False,368.10353932418286,49.72085789868413,3,0.5205266833197582,19.57178136495832,1.0339918143594733,539.7042347667227,430.4308170230225,11,5
P0013,bar,6,False,315.18141398658537,51.61861636722867,2,0.6484757206853705,19.57178136495832,1.1629429608386823,511.4799247241667,424.90845765037653,12,6
P0045,restaurant,21,True,381.2158522114146,43.86564795479442,3,0.7000526498717841,18.693631048664304,1.2397856412527697,612.6854704003266,422.57981944479224,13,6
P0057,restaurant,8,False,439.7995044389384,43.65027093785847,2,0.6303215062750702,18.693631048664304,0.9985524773283811,463.972650564723,421.9576188247374,14,7
P0015,bar,18,False,330.9582791030488,64.08512235626795,2,0.7141920390173164,19.57178136495832,1.061786816780963,548.8024986241071,420.48046842662546,15,7
P0059,restaurant,9,False,486.7140416972761,36.29427188813576,1,0.7710623292637124,18.693631048664304,1.010749464328485,467.0153955541459,402.5166081063038,16,8
P0003,bar,22,True,271.1652826527878,63.55795443830013,3,0.9006287266302493,19.57178136495832,0.7975192829906805,448.4836292800729,398.2798287843323,17,8
P0044,restaurant,22,True,482.6683311083737,41.19111609040864,2,0.636577625413157,18.693631048664304,0.7975192829906805,401.3266931620166,386.3182327933983,18,9
P0041,restaurant,21,True,444.4959326506389,46.02440118374585,2,0.5176314789396514,18.693631048664304,1.2397856412527697,533.5815705312244,375.4698858774693,19,10
P0012,bar,12,False,421.0914711154362,53.72428854747489,3,0.4189275665045006,19.57178136495832,0.8144217863374531,446.1901502004416,371.1498666337229,20,9
P0056,restaurant,5,False,400.7031123760193,44.235951704507,1,0.7214935280299496,18.693631048664304,0.9874541776436688,383.9414252446676,362.68466853083754,21,11
P0054,restaurant,15,False,331.7986625210645,34.30928549522186,3,0.6818791563775582,18.693631048664304,1.0339918143594733,406.39532772038064,359.9121108325508,22,12
P0052,restaurant,8,False,492.3352807163486,50.64501119407507,3,0.3552699324162046,18.693631048664304,0.9985524773283811,477.4654622810045,355.53128035030215,23,13
P0017,bar,3,False,390.9259424592622,69.45150216615075,2,0.6366854857071953,19.57178136495832,0.755015792624648,441.81016332970194,323.52131841295824,24,10
P0004,bar,22,True,314.3280693130263,82.14382937280529,3,0.402554657267179,19.57178136495832,0.7975192829906805,362.7113759628554,322.85085639447425,25,11
P0046,restaurant,24,True,434.648054223629,44.56412724492903,2,0.508402141584203,18.693631048664304,1.003951872317518,414.1344473083185,310.84697344245984,26,14
P0009,bar,23,True,330.0444507615011,45.37469592265719,3,0.3235590827302764,19.57178136495832,1.3268986032784775,490.7994083373921,297.03686960955713,27,12
P0048,restaurant,23,True,429.8824787754348,36.1851083209236,1,0.705951105829716,18.693631048664304,1.3268986032784775,513.3152535461724,296.6532975386708,28,15
P0032,gym,7,False,321.4620353156338,58.75938822426667,3,0.717334824642888,13.054646261079396,0.7035462344227063,309.9427204137238,295.97964074840974,29,2
P0049,restaurant,21,True,362.1124022343888,31.3306710953172,2,0.95,18.693631048664304,1.2397856412527697,551.738930517723,283.7520985622369,30,16
P0002,bar,24,True,283.0577640447162,78.43245384539763,2,0.5131127374586321,19.57178136495832,1.003951872317518,393.8987589887951,279.0959435878829,31,13
P0016,bar,17,False,257.73589453107854,74.65414097683183,2,0.5548412067899032,19.57178136495832,1.1237477840063734,411.4013048341756,273.8240548572659,32,14
P0014,bar,2,False,248.9072128662972,95.46547078536398,2,0.7405081947242622,19.57178136495832,0.8075273088415456,365.3953104886506,268.611848538847,33,15
P0034,gym,13,False,269.22457967696886,33.42958535049843,3,0.6547853456004784,13.054646261079396,0.9486158444409548,285.96059428943664,250.66139892939228,34,3
P0024,gym,24,True,292.3676413737901,32.49708799526371,3,0.4324570851079562,13.054646261079396,1.003951872317518,263.80826855543364,240.34593476341377,35,4
P0036,gym,17,False,250.1246641223949,76.71378195337633,2,0.605535665468179,13.054646261079396,1.1237477840063734,332.98742867468405,238.97871237084652,36,5
P0029,gym,22,True,243.55950575941827,44.664903301182974,3,0.6529305883827998,13.054646261079396,0.7975192829906805,232.65613444513215,238.51149223714674,37,6
P0053,restaurant,12,False,327.35208579785865,36.68796917228486,3,0.5821913125330128,18.693631048664304,0.8144217863374531,294.7688964580827,236.37893333787397,38,17
P0011,bar,4,False,245.94825315586516,79.59544967869813,3,0.5660367469514248,19.57178136495832,1.0275822800548309,427.3881942780213,236.17479149451646,39,16
P0006,bar,24,True,228.39225429574253,78.78578899646465,2,0.4679963620374495,19.57178136495832,1.003951872317518,304.1213629376937,236.0476595074688,40,17
P0005,bar,22,True,216.02177942782583,93.73855705153493,1,0.6330042619654109,19.57178136495832,0.7975192829906805,240.4116774821246,231.5743169455962,41,18
P0007,bar,22,True,214.3981403980784,72.54016018793828,2,0.5317351660168886,19.57178136495832,0.7975192829906805,235.42576716177496,230.90303790410005,42,19
P0043,restaurant,24,True,331.674955376248,42.187920223064495,1,0.6569918238774612,18.693631048664304,1.003951872317518,301.3273386127969,228.4010621449336,43,18
P0022,gym,24,True,207.3906053935301,49.70689013767997,3,0.582734725245508,13.054646261079396,1.003951872317518,241.20835892535032,212.02732470717567,44,7
P0008,bar,24,True,202.65167847048752,54.63140221397016,1,0.7801502306244632,19.57178136495832,1.003951872317518,271.5613948399088,210.63622739467718,45,20
P0023,gym,23,True,287.09820660623654,70.86344675773026,2,0.3563462242642297,13.054646261079396,1.3268986032784775,339.3837242194209,208.25744296597352,46,8
P0051,restaurant,10,False,381.9533904410506,27.5418467702556,2,0.3901099596454794,18.693631048664304,0.8089120417174245,225.7259156739972,196.7733035016786,47,19
P0028,gym,21,True,201.0610333582024,79.14331896988944,2,0.4586185487514083,13.054646261079396,1.2397856412527697,259.1666913627955,196.26914303812487,48,9
P0027,gym,21,True,322.8301474272614,35.75683997680382,1,0.524837219258852,13.054646261079396,1.2397856412527697,295.97554580679304,194.16194252767986,49,10
