venue_id,venue_type,geo_cluster,traffic_tier,realized_ad_revenue,thin_coverage_market,individual_execution_gap,monetization_efficiency,predicted_revenue_oof,gap_pct
85,restaurant,0,low,82.03052256247197,True,True,0.3550417261171581,214.92353551550835,-61.83269442049874
309,waiting_room,5,low,46.47526902959797,False,True,0.5148165168333204,117.89891080658163,-60.58040849432214
53,restaurant,10,high,130.92265114205543,False,True,0.4542860437609785,331.6259106213751,-60.52098254423406
247,bar,14,low,81.75381419268938,False,False,0.6750019472176942,204.68792196372385,-60.05928761777242
288,bar,11,low,147.80794088912177,False,True,0.4284604650668431,322.0710850387787,-54.1070441417226
331,waiting_room,1,low,76.38018162208688,False,True,0.717274794164892,153.92017716666,-50.37675824698098
209,bar,4,high,176.94408593069616,True,True,0.3271301933669896,354.9786260800485,-50.153594348862335
260,bar,12,low,89.73418702869223,False,True,0.5602705762985277,174.5458285197032,-48.58989883074588
1,restaurant,8,low,152.40222356079084,False,True,0.4881658299779665,292.6087213888252,-47.91603516209783
13,restaurant,18,low,205.971392623864,False,True,0.4733764039752466,392.8433408153715,-47.569076213343166
173,gym,10,high,124.0949424961437,False,True,0.5325246440679361,231.4469413690123,-46.382984470600405
368,waiting_room,16,low,59.87425995251012,False,False,0.6980484522203654,103.76975321464445,-42.30085540565746
271,bar,0,low,97.88557451146576,True,True,0.2810995107491182,169.26349309214058,-42.16970669618605
54,restaurant,1,high,333.49965582889644,False,True,0.5386733165238472,575.8584217846519,-42.08651932269352
136,gym,17,low,104.47439261962973,False,True,0.5242415092138379,179.9694885667959,-41.94883063144677
167,gym,3,low,45.91412362824436,True,True,0.2976368162240171,77.0840290100471,-40.436269071690674
267,bar,2,high,151.06480086681975,False,True,0.4628791250234854,253.49693367491554,-40.40764175059204
287,bar,7,high,173.46011110893653,False,True,0.4811261069084476,290.8499699321393,-40.36096646342855
160,gym,9,low,97.57612226193564,False,True,0.5208467735754466,163.52309339030688,-40.32884271028618
396,waiting_room,15,high,54.71651209860829,False,True,0.5615317521675516,91.10881215880339,-39.943776236225126
