venue_id,venue_type,geo_cluster,traffic_tier,realized_ad_revenue,thin_coverage_market,individual_execution_gap,monetization_efficiency,predicted_revenue_oof,gap_pct
0,restaurant,2,high,295.67708757320696,False,True,0.589029927594909,349.2879018274135,-15.348603250706397
1,restaurant,8,low,152.40222356079084,False,True,0.4881658299779665,292.6087213888252,-47.91603516209783
2,restaurant,15,high,327.6812730537956,False,False,0.6922887810571736,424.0335544093256,-22.72279642816185
3,restaurant,16,high,252.8426737355275,False,True,0.5941710718171102,399.01531263542216,-36.633340694233375
4,restaurant,0,low,192.02630066546004,True,False,0.6490930669001079,191.07355333705704,0.49862857091600943
5,restaurant,16,low,388.5830207554189,False,False,0.9562532890158064,315.40718354193285,23.20043455946127
6,restaurant,9,high,344.7329068633129,False,False,0.7973958616011316,263.4136630493956,30.8713082201314
7,restaurant,4,low,209.302299932555,True,False,0.627845197498774,192.8690429946376,8.520422294195916
8,restaurant,12,high,363.16864193395486,False,False,0.7158785060746108,470.00480801322806,-22.730866633233752
9,restaurant,14,low,278.55385094554526,False,False,0.8295130305386063,263.90177201973955,5.55209569593559
10,restaurant,14,low,275.489910693751,False,False,0.8191617721463558,297.0752659205427,-7.265955029916554
11,restaurant,18,high,450.3556575300002,False,False,0.8754177776741344,286.95103723448176,56.94512271861645
12,restaurant,14,low,272.4544050132256,False,False,0.8592532504038114,277.1092342035127,-1.6797813337640473
13,restaurant,18,low,205.971392623864,False,True,0.4733764039752466,392.8433408153715,-47.569076213343166
14,restaurant,6,high,484.5526878546223,False,False,0.8151595073074999,457.5684329454075,5.897315672655748
15,restaurant,14,low,479.9078206600258,False,False,0.804228733087752,461.33398803513876,4.026114074966506
16,restaurant,16,low,320.04645163527897,False,False,0.8257605772551356,311.24843859960316,2.826685035035233
17,restaurant,18,low,268.79810750023887,False,False,0.8348581134940808,265.9149770593465,1.084230182434942
18,restaurant,8,high,371.03200858330194,False,False,0.7671748072951295,404.26264864795655,-8.220061926520646
19,restaurant,9,low,250.7853598967552,False,False,0.9203232759342896,179.54570353676166,39.67772826455151
20,restaurant,4,low,224.3092787564925,True,False,0.567783292449187,259.0479501870607,-13.410131755716694
21,restaurant,13,high,442.34469744488166,False,False,0.9947599795552944,374.5316703714929,18.106086197230244
22,restaurant,16,high,460.6591819365336,False,False,0.9096673004539289,372.0540685342994,23.81511745088356
23,restaurant,0,high,177.10777130207262,True,False,0.5613119013465587,146.7670057554707,20.672742753335736
24,restaurant,11,high,428.5626286428474,False,False,0.8929324590977011,349.78105012167936,22.52311224229045
25,restaurant,1,high,401.4517694169938,False,False,0.9146133100836285,363.74123306180076,10.367407631453728
26,restaurant,16,low,285.31441322662386,False,False,0.7888947789649547,334.3307566773044,-14.661033264729234
27,restaurant,2,high,186.88352435115212,False,False,0.8852286777356617,188.72616585737873,-0.9763571987252186
28,restaurant,9,low,137.5119347575442,False,True,0.5863543120863502,211.88919738091352,-35.10196062032422
29,restaurant,13,low,331.32771949247524,False,False,0.7747908027129015,278.02750598061294,19.17084186468189
30,restaurant,3,high,355.7815578003125,True,False,0.6372937821816302,251.37843800470282,41.53224939430028
31,restaurant,7,high,284.8791167068508,False,False,0.8432459000285476,263.15475210022265,8.255357136151746
32,restaurant,15,low,271.81842226705845,False,False,0.8770030256689892,253.97913387505034,7.023918902245127
33,restaurant,16,low,460.8269133976216,False,False,0.954125598350378,377.58512040771944,22.045835095412915
34,restaurant,12,low,230.51418245985997,False,False,0.8419373377554522,207.57288654938984,11.05216403348107
35,restaurant,0,low,189.50554186481745,True,False,0.5658763268874595,170.418963352423,11.199797332955132
36,restaurant,7,high,228.0355165356226,False,True,0.6887065962568905,197.08072427940542,15.706656431976544
37,restaurant,3,high,146.4421121180216,True,False,0.5139478736002911,168.8545771286377,-13.27323510664546
38,restaurant,16,low,301.898295706164,False,False,0.8348573616722037,349.24161537896543,-13.556036161792676
39,restaurant,7,low,239.7895938077136,False,False,0.7658717897314895,259.4393368388469,-7.573925862807344
40,restaurant,0,high,252.9136949505661,True,False,0.6447226986729065,251.54662081399857,0.5434675020255572
41,restaurant,13,low,162.70170108692898,False,False,0.8067125435904632,161.02947703245164,1.0384583526532494
42,restaurant,4,high,161.1919708599311,True,False,0.4941618128878272,212.2749660142358,-24.064540493615674
43,restaurant,6,low,187.0276476551589,False,False,0.7089167627999867,228.89425745290183,-18.290808281355673
44,restaurant,18,high,672.5117870144054,False,False,0.9163039039353515,498.15240715464205,35.0012119495062
45,restaurant,12,low,264.0459569845736,False,False,0.7459277661796788,312.35105121916405,-15.465001332970296
46,restaurant,8,low,210.0480025899284,False,True,0.5400980440299102,313.21345415723425,-32.93774587202645
47,restaurant,10,low,229.28090400683232,False,False,0.9211400122252256,187.23581905524188,22.455684582011255
48,restaurant,8,high,572.8980780082044,False,False,0.9120917470798946,477.1255657604106,20.072810832334667
49,restaurant,14,low,234.2839138479236,False,True,0.6011088328036388,382.96743943304244,-38.82406447013741
50,restaurant,5,low,456.2284242649379,False,False,0.9566784355362976,277.65024900360845,64.3176715678035
51,restaurant,17,high,426.0590239802005,False,False,0.9425752208728698,361.19617482041326,17.957789611708108
52,restaurant,15,high,384.872704874232,False,False,0.9991213356982384,353.29353890651157,8.938506508061812
53,restaurant,10,high,130.92265114205543,False,True,0.4542860437609785,331.6259106213751,-60.52098254423406
54,restaurant,1,high,333.49965582889644,False,True,0.5386733165238472,575.8584217846519,-42.08651932269352
55,restaurant,10,low,192.77913557170936,False,False,0.9616980690473528,205.42651394276206,-6.156643623216345
56,restaurant,18,low,219.4319872909954,False,False,0.9452742029129718,174.57679417851654,25.693674421934578
57,restaurant,18,high,319.4456103458572,False,False,1.0201480551186866,385.90945034689236,-17.222651567949715
58,restaurant,8,low,392.09863180142327,False,False,0.7663938959009672,364.927158052463,7.445725304186318
59,restaurant,16,high,418.1502688969039,False,False,0.8550294150702332,343.622048214159,21.689010082465938
60,restaurant,3,high,173.31612813287308,True,False,0.5173210651483284,283.2826522814379,-38.8186580656956
