venue_id,week,is_campaign_period,pool,rct_arm,ad_frequency,adstocked_exposure,true_incremental_lift,foot_traffic
0,0,False,rct,n/a,0.0,0.0,0.0,382.43838206292446
1,0,False,obs,n/a,0.0,0.0,0.0,238.6579607803784
2,0,False,obs,n/a,0.0,0.0,0.0,485.11944387457464
3,0,False,obs,n/a,0.0,0.0,0.0,515.7496871281348
4,0,False,rct,n/a,0.0,0.0,0.0,391.1834806624537
5,0,False,obs,n/a,0.0,0.0,0.0,402.229908368248
6,0,False,obs,n/a,0.0,0.0,0.0,533.9213765068738
7,0,False,obs,n/a,0.0,0.0,0.0,315.3583085653675
8,0,False,rct,n/a,0.0,0.0,0.0,576.3627004970372
9,0,False,obs,n/a,0.0,0.0,0.0,382.69033233851627
10,0,False,rct,n/a,0.0,0.0,0.0,359.1052520429714
11,0,False,obs,n/a,0.0,0.0,0.0,648.0608045287178
12,0,False,obs,n/a,0.0,0.0,0.0,378.4238192598769
13,0,False,obs,n/a,0.0,0.0,0.0,379.01057403016495
14,0,False,obs,n/a,0.0,0.0,0.0,532.649915910942
15,0,False,obs,n/a,0.0,0.0,0.0,415.5011579218395
16,0,False,rct,n/a,0.0,0.0,0.0,395.73976639725703
17,0,False,rct,n/a,0.0,0.0,0.0,311.6551090401234
18,0,False,rct,n/a,0.0,0.0,0.0,543.5871307744839
19,0,False,rct,n/a,0.0,0.0,0.0,323.6870434869263
20,0,False,rct,n/a,0.0,0.0,0.0,368.35462426152
21,0,False,rct,n/a,0.0,0.0,0.0,512.686464448833
22,0,False,obs,n/a,0.0,0.0,0.0,406.7384345247631
23,0,False,rct,n/a,0.0,0.0,0.0,406.05558476551727
24,0,False,obs,n/a,0.0,0.0,0.0,445.75760228366636
25,0,False,obs,n/a,0.0,0.0,0.0,419.71598497084494
26,0,False,obs,n/a,0.0,0.0,0.0,346.7122584575869
27,0,False,obs,n/a,0.0,0.0,0.0,411.8833298702189
28,0,False,obs,n/a,0.0,0.0,0.0,346.56988882244593
29,0,False,obs,n/a,0.0,0.0,0.0,356.79208601395084
30,0,False,obs,n/a,0.0,0.0,0.0,573.3057925192646
31,0,False,rct,n/a,0.0,0.0,0.0,481.7916182569098
32,0,False,obs,n/a,0.0,0.0,0.0,327.4953793904224
33,0,False,obs,n/a,0.0,0.0,0.0,412.7057958241052
34,0,False,obs,n/a,0.0,0.0,0.0,387.6657981318991
35,0,False,obs,n/a,0.0,0.0,0.0,404.32442720165034
36,0,False,obs,n/a,0.0,0.0,0.0,441.1825087820632
37,0,False,rct,n/a,0.0,0.0,0.0,383.42622622806675
38,0,False,rct,n/a,0.0,0.0,0.0,302.8231806433159
39,0,False,obs,n/a,0.0,0.0,0.0,428.83969225849876
40,0,False,obs,n/a,0.0,0.0,0.0,499.20717526627635
41,0,False,obs,n/a,0.0,0.0,0.0,348.976257156605
42,0,False,obs,n/a,0.0,0.0,0.0,432.9775072219564
43,0,False,obs,n/a,0.0,0.0,0.0,287.70750227980346
44,0,False,obs,n/a,0.0,0.0,0.0,443.44827054158327
45,0,False,rct,n/a,0.0,0.0,0.0,374.2164508282437
46,0,False,rct,n/a,0.0,0.0,0.0,395.59139377384815
47,0,False,obs,n/a,0.0,0.0,0.0,299.1929497214803
48,0,False,obs,n/a,0.0,0.0,0.0,446.4132737976232
49,0,False,obs,n/a,0.0,0.0,0.0,429.5125251887516
50,0,False,rct,n/a,0.0,0.0,0.0,279.2464972204139
51,0,False,obs,n/a,0.0,0.0,0.0,448.23714739845735
52,0,False,obs,n/a,0.0,0.0,0.0,453.6566322174276
53,0,False,obs,n/a,0.0,0.0,0.0,421.86951242777457
54,0,False,obs,n/a,0.0,0.0,0.0,469.0244795314393
55,0,False,obs,n/a,0.0,0.0,0.0,371.96691415126026
56,0,False,obs,n/a,0.0,0.0,0.0,278.317878301357
57,0,False,rct,n/a,0.0,0.0,0.0,448.00462744299546
58,0,False,obs,n/a,0.0,0.0,0.0,391.0558724427603
59,0,False,rct,n/a,0.0,0.0,0.0,396.5874475111937
60,0,False,obs,n/a,0.0,0.0,0.0,472.4995949878965
61,0,False,obs,n/a,0.0,0.0,0.0,379.8131316398633
62,0,False,obs,n/a,0.0,0.0,0.0,432.00068749361543
63,0,False,obs,n/a,0.0,0.0,0.0,395.4500045939988
64,0,False,obs,n/a,0.0,0.0,0.0,394.78503891451135
65,0,False,obs,n/a,0.0,0.0,0.0,546.4885445169432
66,0,False,obs,n/a,0.0,0.0,0.0,521.841809376544
67,0,False,rct,n/a,0.0,0.0,0.0,538.8596642075685
68,0,False,rct,n/a,0.0,0.0,0.0,427.1711479523647
69,0,False,rct,n/a,0.0,0.0,0.0,436.2007879684614
70,0,False,rct,n/a,0.0,0.0,0.0,358.15558705668315
71,0,False,obs,n/a,0.0,0.0,0.0,319.6047152775741
72,0,False,obs,n/a,0.0,0.0,0.0,413.76523066976796
73,0,False,obs,n/a,0.0,0.0,0.0,474.1956190349898
74,0,False,obs,n/a,0.0,0.0,0.0,308.8670876658024
75,0,False,rct,n/a,0.0,0.0,0.0,387.9729703424438
76,0,False,rct,n/a,0.0,0.0,0.0,478.69535578457936
77,0,False,rct,n/a,0.0,0.0,0.0,256.5985871732653
78,0,False,obs,n/a,0.0,0.0,0.0,391.52423869440867
79,0,False,rct,n/a,0.0,0.0,0.0,495.5041121828905
80,0,False,rct,n/a,0.0,0.0,0.0,448.211240065698
81,0,False,rct,n/a,0.0,0.0,0.0,456.33554227865136
82,0,False,obs,n/a,0.0,0.0,0.0,443.0936813100851
83,0,False,obs,n/a,0.0,0.0,0.0,533.1662630934893
84,0,False,obs,n/a,0.0,0.0,0.0,462.298101549795
85,0,False,obs,n/a,0.0,0.0,0.0,215.8739764402807
86,0,False,obs,n/a,0.0,0.0,0.0,427.522274318148
87,0,False,rct,n/a,0.0,0.0,0.0,439.24977882867216
88,0,False,obs,n/a,0.0,0.0,0.0,391.67515493331183
89,0,False,rct,n/a,0.0,0.0,0.0,384.4544986361913
90,0,False,obs,n/a,0.0,0.0,0.0,500.4988256544613
91,0,False,rct,n/a,0.0,0.0,0.0,462.8054355247435
92,0,False,obs,n/a,0.0,0.0,0.0,576.095869070461
93,0,False,obs,n/a,0.0,0.0,0.0,392.0304656608278
94,0,False,rct,n/a,0.0,0.0,0.0,483.5319581361345
95,0,False,rct,n/a,0.0,0.0,0.0,506.6319577958399
96,0,False,obs,n/a,0.0,0.0,0.0,595.8271024141126
97,0,False,obs,n/a,0.0,0.0,0.0,328.14068065052885
98,0,False,obs,n/a,0.0,0.0,0.0,480.55644588351447
99,0,False,rct,n/a,0.0,0.0,0.0,509.77636757088635
100,0,False,obs,n/a,0.0,0.0,0.0,372.904625262187
101,0,False,rct,n/a,0.0,0.0,0.0,323.26836505690903
102,0,False,rct,n/a,0.0,0.0,0.0,241.01238833046273
103,0,False,rct,n/a,0.0,0.0,0.0,188.32613986676475
104,0,False,obs,n/a,0.0,0.0,0.0,271.5070116942362
105,0,False,obs,n/a,0.0,0.0,0.0,273.58199363147855
106,0,False,rct,n/a,0.0,0.0,0.0,352.0754878004001
107,0,False,rct,n/a,0.0,0.0,0.0,463.6902401563991
108,0,False,obs,n/a,0.0,0.0,0.0,211.10117084301018
109,0,False,rct,n/a,0.0,0.0,0.0,252.40685228042653
110,0,False,obs,n/a,0.0,0.0,0.0,309.7937323538842
111,0,False,obs,n/a,0.0,0.0,0.0,188.07229270908795
112,0,False,obs,n/a,0.0,0.0,0.0,357.9228628611984
113,0,False,obs,n/a,0.0,0.0,0.0,275.8704165466496
114,0,False,obs,n/a,0.0,0.0,0.0,320.2858181942545
115,0,False,obs,n/a,0.0,0.0,0.0,253.2560491456938
116,0,False,obs,n/a,0.0,0.0,0.0,287.22313823533574
117,0,False,obs,n/a,0.0,0.0,0.0,212.8543386724781
118,0,False,obs,n/a,0.0,0.0,0.0,271.0642344012068
119,0,False,obs,n/a,0.0,0.0,0.0,339.7550247703612
120,0,False,obs,n/a,0.0,0.0,0.0,181.12130228316855
121,0,False,rct,n/a,0.0,0.0,0.0,235.2860414476282
122,0,False,rct,n/a,0.0,0.0,0.0,219.3039870021451
123,0,False,obs,n/a,0.0,0.0,0.0,347.29546633598335
124,0,False,obs,n/a,0.0,0.0,0.0,214.21774451931356
