venue_id,venue_type,geo_cluster,traffic_tier,realized_ad_revenue,tenure_months,engagement_trend_90d,screen_uptime_pct,complaint_count_90d,self_ad_promo_utilization,competitor_outreach_flag,churned_next_quarter,true_churn_risk_90d,competitive_pressure_market,relationship_execution_gap
0,restaurant,2,high,295.67708757320696,11.0,-1.6038560048808472,91.26636474861472,2,65.97111758200836,False,False,0.12082383120394508,False,False
1,restaurant,8,low,152.40222356079084,32.0,-0.3169967971257788,99.54640930493268,1,80.455323384961,True,False,0.06748262958175892,False,False
2,restaurant,15,high,327.6812730537956,2.0,-0.9792273572249952,95.931487138094,0,68.79639507990542,False,False,0.18366806454919787,False,False
3,restaurant,16,high,252.8426737355275,6.0,-9.933809890720886,86.87337348697994,0,65.94714751003555,False,False,0.28315132909422575,True,False
4,restaurant,0,low,192.02630066546004,37.0,-2.8321650679588175,92.78696964653327,2,80.68883383791092,False,False,0.22935589343800497,False,False
5,restaurant,16,low,388.5830207554189,3.0,-18.27632294909932,73.42772549026989,3,44.51653582762643,False,True,0.6773480834986726,True,True
6,restaurant,9,high,344.7329068633129,14.0,-1.9878161784445947,95.16267193216974,1,64.61646072799036,False,False,0.09447333245808348,False,False
7,restaurant,4,low,209.302299932555,38.0,-0.17051390943259226,100.0,0,58.55913546654453,False,False,0.08306182871165152,False,False
8,restaurant,12,high,363.16864193395486,40.0,-2.3595823081426945,99.124727914716,3,71.83745488919897,False,False,0.15749411212728145,True,False
9,restaurant,14,low,278.55385094554526,15.0,-3.043533085424681,95.1534492334543,3,65.05119900119605,False,True,0.11904497212687475,True,False
10,restaurant,14,low,275.489910693751,22.0,-8.989711330874428,94.78011731700366,0,80.0096802408813,True,False,0.3012979107238185,True,False
11,restaurant,18,high,450.3556575300002,5.0,-7.503203815470899,93.11649042032487,1,71.3669256442348,False,False,0.24456078623757632,False,False
12,restaurant,14,low,272.4544050132256,36.0,-16.84128449310436,74.94960652365174,2,55.643089093552234,True,True,0.7039624957730097,True,True
13,restaurant,18,low,205.971392623864,21.0,0.7762215691027057,97.04807739774553,2,59.47051805443982,False,True,0.11800609246250246,False,False
14,restaurant,6,high,484.5526878546223,31.0,-15.655156161236196,76.71723512396792,1,68.19340616523777,False,False,0.3965140240401909,False,True
15,restaurant,14,low,479.9078206600258,3.0,-12.466573892775548,88.77374181995337,1,62.10921180314644,True,False,0.4143506406117857,True,False
16,restaurant,16,low,320.04645163527897,4.0,-10.511649450486594,89.04789483064056,1,63.155483600089724,False,True,0.3267814833917642,True,False
17,restaurant,18,low,268.79810750023887,12.0,0.3797744740518043,95.15863098313898,0,61.81019818589334,False,False,0.14391338311590754,False,False
18,restaurant,8,high,371.03200858330194,26.0,-3.7298004612472337,97.37479843797401,0,61.0480332018821,False,False,0.14145470966120757,False,False
19,restaurant,9,low,250.7853598967552,43.0,-5.971194845084767,96.81211698058065,1,77.15971235947748,False,False,0.16006721401273738,False,False
20,restaurant,4,low,224.3092787564925,19.0,-4.757411959945513,79.04603708213202,1,58.14999440523042,False,False,0.2732834748180787,False,True
21,restaurant,13,high,442.34469744488166,19.0,1.4049335054404923,89.85609402703794,2,78.19234667534636,True,False,0.17862844372797598,False,False
22,restaurant,16,high,460.6591819365336,6.0,-2.880100974389401,93.48490546880268,0,58.64979540944995,False,False,0.23163505430595194,True,False
23,restaurant,0,high,177.10777130207262,22.0,0.6710535078240669,94.34469639841274,1,66.34208877536096,True,False,0.055054270788664525,False,False
24,restaurant,11,high,428.5626286428474,35.0,2.242075058009293,94.65467732577322,1,63.825629881552636,False,False,0.15018996910505364,False,False
25,restaurant,1,high,401.4517694169938,5.0,6.507423575824696,94.92635534098858,1,54.790664162018224,False,False,0.16875677386755997,False,False
26,restaurant,16,low,285.31441322662386,42.0,-4.438368589467324,90.3188709576815,1,72.82731838529811,False,True,0.19315705158492286,True,False
27,restaurant,2,high,186.88352435115212,31.0,2.5626030309555228,98.39478111957668,2,82.80534598128082,False,True,0.10029700479836468,False,False
28,restaurant,9,low,137.5119347575442,37.0,-5.647472042809078,98.0061406206608,0,46.553624619085355,False,False,0.1825813979877258,False,False
29,restaurant,13,low,331.32771949247524,7.0,-3.7152021380183733,97.40325831595298,0,60.645236015492934,False,False,0.08632858374196477,False,False
