venue_id,venue_type,geo_cluster,baseline_level,dwell_time_min,screen_count,audience_quality,traffic_tier,pool,rct_arm
0,restaurant,2,419.57538927064155,43.87611240149561,3,0.7964042364697145,high,rct,treated
1,restaurant,8,241.0388042192476,24.272257856127865,3,0.7175436329290225,low,obs,n/a
2,restaurant,15,492.6029078132333,33.52848627918072,2,0.6664899034151077,high,obs,n/a
3,restaurant,16,480.8292573646817,39.87054988052921,1,0.44937264550057243,high,obs,n/a
4,restaurant,0,343.92696322344125,44.840353976584595,2,0.6049515132618521,low,rct,holdout
5,restaurant,16,392.24147124545163,38.99702618581297,2,0.42906835322194825,low,obs,n/a
6,restaurant,9,511.68154014203407,31.688280352597936,1,0.4553888680984605,high,obs,n/a
7,restaurant,4,328.8180326132915,48.01408951455328,2,0.5786504770887694,low,obs,n/a
8,restaurant,12,543.6708854165768,36.19058668635338,3,0.7236899650025312,high,rct,treated
9,restaurant,14,357.75975665564397,26.209257083329277,2,0.5291205268582746,low,obs,n/a
10,restaurant,14,330.06271972897366,41.55030826915884,3,0.5311128389885708,low,rct,treated
11,restaurant,18,611.760966982385,43.08888622752417,1,0.5047422157181245,high,obs,n/a
12,restaurant,14,357.48110089118643,43.839803932869415,1,0.6305065927146959,low,obs,n/a
13,restaurant,18,375.8590191838323,37.37625927162768,2,0.6846605377481843,low,obs,n/a
14,restaurant,6,494.48999390077194,33.83286883456772,2,0.699342979370573,high,obs,n/a
15,restaurant,14,405.73047490220256,38.20264901556525,3,0.732172848814613,low,obs,n/a
16,restaurant,16,401.5433835391281,30.050796698019102,2,0.4530132434067312,low,rct,treated
17,restaurant,18,309.2691296113717,46.20335174881013,2,0.563611613975147,low,rct,holdout
18,restaurant,8,543.6409104418074,36.559809233987565,1,0.6812239188810421,high,rct,holdout
19,restaurant,9,320.52814019897545,33.56335325753721,1,0.573163435900032,low,rct,holdout
20,restaurant,4,385.30795740525735,41.556953215642174,3,0.49280661388813735,low,rct,treated
21,restaurant,13,461.55967670578985,40.310303176106025,3,0.4439780456661401,high,rct,treated
22,restaurant,16,424.87614125651373,37.268743818212634,2,0.5578964031419253,high,obs,n/a
23,restaurant,0,419.7470997782217,36.16957371901592,1,0.6586426804532606,high,rct,treated
24,restaurant,11,454.15701426934834,30.442902233521878,3,0.3927249695836448,high,obs,n/a
25,restaurant,1,448.8324424314603,32.409623328812614,2,0.5452089994522585,high,obs,n/a
26,restaurant,16,380.01963841312295,41.33236419283977,2,0.5229378520548167,low,obs,n/a
27,restaurant,2,427.84462202571785,43.70400995174006,1,0.3114546911993413,high,obs,n/a
28,restaurant,9,327.187957013531,29.139743730142243,1,0.5927288545539189,low,obs,n/a
29,restaurant,13,377.0021159272262,50.79997638293847,3,0.5702323079313998,low,obs,n/a
30,restaurant,3,560.056232113649,35.19107965943608,3,0.7140092561048297,high,obs,n/a
31,restaurant,7,519.1606056651884,29.76623982977596,3,0.44807115871587,high,rct,holdout
